,zipcode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate
209,78615,2022-10,50646.7641,543.8412714585633,0.0282,0.006,Townhouse,0.032,0.019,0.071
210,78616,2022-04,55666.1972,493.8764550844589,0.0714,0.019,All Residential,0.026,0.022,0.056
211,78616,2022-07,55666.1972,520.4899930411716,0.0714,0.019,All Residential,0.026,0.022,0.056
212,78616,2022-10,55666.1972,543.8412714585633,0.0714,0.019,All Residential,0.026,0.022,0.056
213,78616,2022-04,55666.1972,493.8764550844589,0.0714,0.019,Condo/Co-op,0.026,0.022,0.056
214,78616,2022-07,55666.1972,520.4899930411716,0.0714,0.019,Condo/Co-op,0.026,0.022,0.056
215,78616,2022-10,55666.1972,543.8412714585633,0.0714,0.019,Condo/Co-op,0.026,0.022,0.056
216,78616,2022-04,55666.1972,493.8764550844589,0.0714,0.019,Multi-Family (2-4 Unit),0.026,0.022,0.056
217,78616,2022-07,55666.1972,520.4899930411716,0.0714,0.019,Multi-Family (2-4 Unit),0.026,0.022,0.056
218,78616,2022-10,55666.1972,543.8412714585633,0.0714,0.019,Multi-Family (2-4 Unit),0.026,0.022,0.056
219,78616,2022-04,55666.1972,493.8764550844589,0.0714,0.019,Single Family Residential,0.026,0.022,0.056
220,78616,2022-07,55666.1972,520.4899930411716,0.0714,0.019,Single Family Residential,0.026,0.022,0.056
221,78616,2022-10,55666.1972,543.8412714585633,0.0714,0.019,Single Family Residential,0.026,0.022,0.056
222,78616,2022-04,55666.1972,493.8764550844589,0.0714,0.019,Townhouse,0.026,0.022,0.056
223,78616,2022-07,55666.1972,520.4899930411716,0.0714,0.019,Townhouse,0.026,0.022,0.056
224,78616,2022-10,55666.1972,543.8412714585633,0.0714,0.019,Townhouse,0.026,0.022,0.056
225,78617,2022-04,72625.7032,493.8764550844589,0.0398,0.023,All Residential,0.095,0.001,0.056
226,78617,2022-07,72625.7032,520.4899930411716,0.0398,0.023,All Residential,0.095,0.001,0.056
227,78617,2022-10,72625.7032,543.8412714585633,0.0398,0.023,All Residential,0.095,0.001,0.056
228,78617,2022-04,72625.7032,493.8764550844589,0.0398,0.023,Condo/Co-op,0.095,0.001,0.056
229,78617,2022-07,72625.7032,520.4899930411716,0.0398,0.023,Condo/Co-op,0.095,0.001,0.056
230,78617,2022-10,72625.7032,543.8412714585633,0.0398,0.023,Condo/Co-op,0.095,0.001,0.056
231,78617,2022-04,72625.7032,493.8764550844589,0.0398,0.023,Multi-Family (2-4 Unit),0.095,0.001,0.056
232,78617,2022-07,72625.7032,520.4899930411716,0.0398,0.023,Multi-Family (2-4 Unit),0.095,0.001,0.056
233,78617,2022-10,72625.7032,543.8412714585633,0.0398,0.023,Multi-Family (2-4 Unit),0.095,0.001,0.056
234,78617,2022-04,72625.7032,493.8764550844589,0.0398,0.023,Single Family Residential,0.095,0.001,0.056
235,78617,2022-07,72625.7032,520.4899930411716,0.0398,0.023,Single Family Residential,0.095,0.001,0.056
236,78617,2022-10,72625.7032,543.8412714585633,0.0398,0.023,Single Family Residential,0.095,0.001,0.056
237,78617,2022-04,72625.7032,493.8764550844589,0.0398,0.023,Townhouse,0.095,0.001,0.056
238,78617,2022-07,72625.7032,520.4899930411716,0.0398,0.023,Townhouse,0.095,0.001,0.056
239,78617,2022-10,72625.7032,543.8412714585633,0.0398,0.023,Townhouse,0.095,0.001,0.056
240,78619,2022-04,149156.1964,493.8764550844589,-0.0344,0.025,All Residential,0.012,0.034,0.025
241,78619,2022-07,149156.1964,520.4899930411716,-0.0344,0.025,All Residential,0.012,0.034,0.025
242,78619,2022-10,149156.1964,543.8412714585633,-0.0344,0.025,All Residential,0.012,0.034,0.025
243,78619,2022-04,149156.1964,493.8764550844589,-0.0344,0.025,Condo/Co-op,0.012,0.034,0.025
244,78619,2022-07,149156.1964,520.4899930411716,-0.0344,0.025,Condo/Co-op,0.012,0.034,0.025
245,78619,2022-10,149156.1964,543.8412714585633,-0.0344,0.025,Condo/Co-op,0.012,0.034,0.025
246,78619,2022-04,149156.1964,493.8764550844589,-0.0344,0.025,Multi-Family (2-4 Unit),0.012,0.034,0.025
247,78619,2022-07,149156.1964,520.4899930411716,-0.0344,0.025,Multi-Family (2-4 Unit),0.012,0.034,0.025
248,78619,2022-10,149156.1964,543.8412714585633,-0.0344,0.025,Multi-Family (2-4 Unit),0.012,0.034,0.025
249,78619,2022-04,149156.1964,493.8764550844589,-0.0344,0.025,Single Family Residential,0.012,0.034,0.025
250,78619,2022-07,149156.1964,520.4899930411716,-0.0344,0.025,Single Family Residential,0.012,0.034,0.025
251,78619,2022-10,149156.1964,543.8412714585633,-0.0344,0.025,Single Family Residential,0.012,0.034,0.025
252,78619,2022-04,149156.1964,493.8764550844589,-0.0344,0.025,Townhouse,0.012,0.034,0.025
253,78619,2022-07,149156.1964,520.4899930411716,-0.0344,0.025,Townhouse,0.012,0.034,0.025
