zipcode,year,unemployment_rate
98105,2013,0.094
98105,2014,0.09699999999999999
98105,2015,0.102
98105,2016,0.095
98105,2017,0.08199999999999999
98105,2018,0.07
98105,2019,0.067
98105,2020,0.055999999999999994
98105,2021,0.0639
98105,2022,0.0608
98106,2011,0.079
98106,2012,0.087
98106,2013,0.099
98106,2014,0.099
98106,2015,0.09300000000000001
98106,2016,0.084
98106,2017,0.079
98106,2018,0.062
98106,2019,0.055999999999999994
98106,2020,0.045
98106,2021,0.0468
98106,2022,0.0379
98107,2011,0.065
98107,2012,0.064
98107,2013,0.063
98107,2014,0.063
98107,2015,0.051
98107,2016,0.044000000000000004
98107,2017,0.039
98107,2018,0.027000000000000003
98107,2019,0.03
98107,2020,0.036000000000000004
98107,2021,0.0242
98107,2022,0.0195
98108,2011,0.067
98108,2012,0.07200000000000001
98108,2013,0.085
98108,2014,0.091
98108,2015,0.08900000000000001
98108,2016,0.08900000000000001
98108,2017,0.091
98108,2018,0.073
98108,2019,0.07200000000000001
98108,2020,0.06
98108,2021,0.0636
98108,2022,0.056
98109,2011,0.054000000000000006
98109,2012,0.055
98109,2013,0.052000000000000005
98109,2014,0.039
98109,2015,0.03
98109,2016,0.043
98109,2017,0.040999999999999995
98109,2018,0.037000000000000005
98109,2019,0.039
98109,2020,0.040999999999999995
98109,2021,0.0373
98109,2022,0.0355
98112,2011,0.055
98112,2012,0.052000000000000005
98112,2013,0.061
98112,2014,0.066
98112,2015,0.053
98112,2016,0.047
98112,2017,0.049
98112,2018,0.049
98112,2019,0.037000000000000005
98112,2020,0.063
98112,2021,0.0348
98112,2022,0.0325
98115,2011,0.052000000000000005
98115,2012,0.052000000000000005
98115,2013,0.055999999999999994
98115,2014,0.052000000000000005
98115,2015,0.051
98115,2016,0.04
98115,2017,0.038
98115,2018,0.034
98115,2019,0.038
98115,2020,0.036000000000000004
98115,2021,0.0362
98115,2022,0.0345
98116,2011,0.042
98116,2012,0.057
98116,2013,0.047
98116,2014,0.044000000000000004
98116,2015,0.039
98116,2016,0.043
98116,2017,0.027000000000000003
98116,2018,0.028999999999999998
98116,2019,0.027000000000000003
98116,2020,0.035
98116,2021,0.0241
98116,2022,0.021
98117,2011,0.047
98117,2012,0.053
98117,2013,0.049
98117,2014,0.047
98117,2015,0.048
98117,2016,0.046
98117,2017,0.040999999999999995
98117,2018,0.043
98117,2019,0.038
98117,2020,0.034
98117,2021,0.0363
98117,2022,0.0338
98118,2011,0.111
98118,2012,0.111
98118,2013,0.107
98118,2014,0.109
98118,2015,0.098
98118,2016,0.086
98118,2017,0.08
98118,2018,0.069
98118,2019,0.063
98118,2020,0.047
98118,2021,0.0545
98118,2022,0.0469
98119,2011,0.05
98119,2012,0.055999999999999994
98119,2013,0.059000000000000004
98119,2014,0.051
98119,2015,0.048
98119,2016,0.044000000000000004
98119,2017,0.035
98119,2018,0.031
98119,2019,0.034
98119,2020,0.042
98119,2021,0.0332
98119,2022,0.0325
98121,2011,0.06
98121,2012,0.054000000000000006
98121,2013,0.059000000000000004
98121,2014,0.044000000000000004
98121,2015,0.044000000000000004
98121,2016,0.045
98121,2017,0.040999999999999995
98121,2018,0.036000000000000004
98121,2019,0.035
98121,2020,0.036000000000000004
98121,2021,0.0314
98121,2022,0.0286
98122,2011,0.062
98122,2012,0.064
98122,2013,0.067
98122,2014,0.065
98122,2015,0.049
98122,2016,0.037000000000000005
98122,2017,0.035
98122,2018,0.039
98122,2019,0.043
98122,2020,0.051
98122,2021,0.047
98122,2022,0.051
98125,2011,0.06
98125,2012,0.063
98125,2013,0.078
98125,2014,0.066
98125,2015,0.063
98125,2016,0.07
98125,2017,0.055
98125,2018,0.055999999999999994
98125,2019,0.054000000000000006
98125,2020,0.045
98125,2021,0.0499
98125,2022,0.0461
98126,2011,0.078
98126,2012,0.071
98126,2013,0.07400000000000001
98126,2014,0.055999999999999994
98126,2015,0.047
98126,2016,0.048
98126,2017,0.047
98126,2018,0.04
98126,2019,0.040999999999999995
98126,2020,0.048
98126,2021,0.0312
98126,2022,0.0269
98133,2011,0.079
98133,2012,0.096
98133,2013,0.099
98133,2014,0.092
98133,2015,0.069
98133,2016,0.063
98133,2017,0.046
98133,2018,0.037000000000000005
98133,2019,0.035
98133,2020,0.031
98133,2021,0.0317
98133,2022,0.029
98134,2011,0.109
98134,2012,0.213
98134,2013,0.287
98134,2014,0.244
98134,2015,0.179
98134,2016,0.136
98134,2017,0.062
98134,2018,0.019
98134,2019,0.051
98134,2020,0.106
98134,2021,0.083
98134,2022,0.115
98136,2011,0.059000000000000004
98136,2012,0.046
98136,2013,0.052000000000000005
98136,2014,0.05
98136,2015,0.037000000000000005
98136,2016,0.031
98136,2017,0.026000000000000002
98136,2018,0.024
98136,2019,0.018000000000000002
98136,2020,0.025
98136,2021,0.0133
98136,2022,0.0085
98144,2011,0.067
98144,2012,0.073
98144,2013,0.07
98144,2014,0.067
98144,2015,0.05
98144,2016,0.042
98144,2017,0.040999999999999995
98144,2018,0.038
98144,2019,0.038
98144,2020,0.037000000000000005
98144,2021,0.0369
98144,2022,0.0359
98146,2011,0.08900000000000001
98146,2012,0.086
98146,2013,0.094
98146,2014,0.09300000000000001
98146,2015,0.076
98146,2016,0.062
98146,2017,0.061
98146,2018,0.05
98146,2019,0.042
98146,2020,0.039
98146,2021,0.0363
98146,2022,0.0305
98148,2011,0.067
98148,2012,0.073
98148,2013,0.079
98148,2014,0.08800000000000001
98148,2015,0.057999999999999996
98148,2016,0.043
98148,2017,0.053
98148,2018,0.057
98148,2019,0.055
98148,2020,0.057999999999999996
98148,2021,0.0535
98148,2022,0.0521
98155,2011,0.076
98155,2012,0.09699999999999999
98155,2013,0.102
98155,2014,0.098
98155,2015,0.08199999999999999
98155,2016,0.07
98155,2017,0.052000000000000005
98155,2018,0.045
98155,2019,0.04
98155,2020,0.047
98155,2021,0.035
98155,2022,0.03
98164,2011,0.0
98164,2012,0.44799999999999995
98164,2013,0.228
98164,2014,0.23199999999999998
98164,2015,0.174
98164,2016,0.16
98164,2017,0.0
98164,2018,0.0
98164,2019,0.0
98164,2020,0.0
98164,2021,-0.0182
98164,2022,-0.0494
98166,2011,0.057
98166,2012,0.07200000000000001
98166,2013,0.076
98166,2014,0.065
98166,2015,0.055999999999999994
98166,2016,0.051
98166,2017,0.065
98166,2018,0.053
98166,2019,0.059000000000000004
98166,2020,0.062
98166,2021,0.0583
98166,2022,0.0589
98168,2011,0.125
98168,2012,0.127
98168,2013,0.124
98168,2014,0.11199999999999999
98168,2015,0.086
98168,2016,0.071
98168,2017,0.08
98168,2018,0.07400000000000001
98168,2019,0.08
98168,2020,0.07400000000000001
98168,2021,0.0812
98168,2022,0.0825
98177,2011,0.06
98177,2012,0.069
98177,2013,0.066
98177,2014,0.048
98177,2015,0.05
98177,2016,0.039
98177,2017,0.033
98177,2018,0.032
98177,2019,0.031
98177,2020,0.03
98177,2021,0.0285
98177,2022,0.0272
98178,2011,0.094
98178,2012,0.098
98178,2013,0.09
98178,2014,0.077
98178,2015,0.057999999999999996
98178,2016,0.055999999999999994
98178,2017,0.045
98178,2018,0.042
98178,2019,0.037000000000000005
98178,2020,0.047
98178,2021,0.0325
98178,2022,0.0281
98188,2011,0.078
98188,2012,0.083
98188,2013,0.09300000000000001
98188,2014,0.094
98188,2015,0.085
98188,2016,0.055999999999999994
98188,2017,0.05
98188,2018,0.042
98188,2019,0.051
98188,2020,0.048
98188,2021,0.0552
98188,2022,0.0595
98198,2011,0.071
98198,2012,0.087
98198,2013,0.105
98198,2014,0.092
98198,2015,0.075
98198,2016,0.067
98198,2017,0.055999999999999994
98198,2018,0.055999999999999994
98198,2019,0.057
98198,2020,0.066
98198,2021,0.0559
98198,2022,0.0549
98199,2011,0.054000000000000006
98199,2012,0.055
98199,2013,0.057
98199,2014,0.049
98199,2015,0.040999999999999995
98199,2016,0.043
98199,2017,0.036000000000000004
98199,2018,0.034
98199,2019,0.032
98199,2020,0.032
98199,2021,0.0288
98199,2022,0.0258
98224,2011,0.10300000000000001
98224,2012,0.146
98224,2013,0.18899999999999997
98224,2014,0.18600000000000003
98224,2015,0.196
98224,2016,0.086
98224,2017,0.142
98224,2018,0.10400000000000001
98224,2019,0.22
98224,2020,0.13
98224,2021,0.1648
98224,2022,0.1672
98288,2011,0.132
98288,2012,0.096
98288,2013,0.133
98288,2014,0.16399999999999998
98288,2015,0.151
98288,2016,0.105
98288,2017,0.053
98288,2018,0.0
98288,2019,0.0
98288,2020,0.0
98288,2021,-0.0165
98288,2022,-0.0329
98321,2011,0.08
98321,2012,0.102
98321,2013,0.094
98321,2014,0.08900000000000001
98321,2015,0.08
98321,2016,0.071
98321,2017,0.055999999999999994
98321,2018,0.05
98321,2019,0.035
98321,2020,0.037000000000000005
98321,2021,0.0238
98321,2022,0.0118
98323,2011,0.073
98323,2012,0.09699999999999999
98323,2013,0.134
98323,2014,0.135
98323,2015,0.14
98323,2016,0.122
98323,2017,0.094
98323,2018,0.08
98323,2019,0.063
98323,2020,0.043
98323,2021,0.0467
98323,2022,0.0305
98354,2011,0.083
98354,2012,0.096
98354,2013,0.096
98354,2014,0.077
98354,2015,0.05
98354,2016,0.053
98354,2017,0.051
98354,2018,0.040999999999999995
98354,2019,0.044000000000000004
98354,2020,0.051
98354,2021,0.0418
98354,2022,0.0396
98391,2011,0.079
98391,2012,0.083
98391,2013,0.078
98391,2014,0.078
98391,2015,0.065
98391,2016,0.057
98391,2017,0.044000000000000004
98391,2018,0.035
98391,2019,0.032
98391,2020,0.035
98391,2021,0.0257
98391,2022,0.0207
98001,2011,0.083
98001,2012,0.091
98001,2013,0.10099999999999999
98001,2014,0.083
98001,2015,0.075
98001,2016,0.066
98001,2017,0.057999999999999996
98001,2018,0.048
98001,2019,0.049
98001,2020,0.053
98001,2021,0.044
98001,2022,0.0396
98002,2011,0.11800000000000001
98002,2012,0.132
98002,2013,0.133
98002,2014,0.11199999999999999
98002,2015,0.08900000000000001
98002,2016,0.086
98002,2017,0.075
98002,2018,0.066
98002,2019,0.055999999999999994
98002,2020,0.06
98002,2021,0.0462
98002,2022,0.0364
98003,2011,0.087
98003,2012,0.09300000000000001
98003,2013,0.099
98003,2014,0.08900000000000001
98003,2015,0.081
98003,2016,0.068
98003,2017,0.055999999999999994
98003,2018,0.066
98003,2019,0.054000000000000006
98003,2020,0.044000000000000004
98003,2021,0.0494
98003,2022,0.044
98004,2011,0.062
98004,2012,0.066
98004,2013,0.069
98004,2014,0.061
98004,2015,0.06
98004,2016,0.048
98004,2017,0.048
98004,2018,0.044000000000000004
98004,2019,0.038
98004,2020,0.035
98004,2021,0.0339
98004,2022,0.0293
98005,2011,0.06
98005,2012,0.066
98005,2013,0.09699999999999999
98005,2014,0.083
98005,2015,0.073
98005,2016,0.053
98005,2017,0.047
98005,2018,0.03
98005,2019,0.024
98005,2020,0.035
98005,2021,0.0155
98005,2022,0.007
98006,2011,0.062
98006,2012,0.073
98006,2013,0.078
98006,2014,0.073
98006,2015,0.066
98006,2016,0.053
98006,2017,0.037000000000000005
98006,2018,0.027999999999999997
98006,2019,0.025
98006,2020,0.024
98006,2021,0.0212
98006,2022,0.0174
98007,2011,0.051
98007,2012,0.053
98007,2013,0.069
98007,2014,0.07200000000000001
98007,2015,0.055999999999999994
98007,2016,0.042
98007,2017,0.043
98007,2018,0.04
98007,2019,0.044000000000000004
98007,2020,0.048
98007,2021,0.043
98007,2022,0.042
98008,2011,0.055
98008,2012,0.06
98008,2013,0.06
98008,2014,0.07200000000000001
98008,2015,0.066
98008,2016,0.057999999999999996
