ZipCode,Condition,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
98019,4,69500.0,97000.0,40000.0,78125.0,57250.0,78620.0,86500.0,88497.5,115000.0,245937.5,135000.0,156950.0,159975.0,167950.0,154950.0,194000.0,206575.0,253250.0,225000.0,239950.0,290000.0,250000.0,287950.0,329500.0,375000.0,394495.0,343000.0,305400.0,380000.0,249000.0,300000.0,336200.0,341000.0,405000.0,430000.0,532000.0,650000.0,579000.5,639561.0,800000.0,773000.0
98019,5,60000.0,,,,,77735.0,89950.0,103575.0,,97000.0,145000.0,,113000.0,140000.0,163600.0,167525.0,205235.0,225000.0,189550.0,279000.0,258000.0,253225.0,218000.0,355000.0,290000.0,299735.0,299000.0,406500.0,334000.0,338500.0,256000.0,238000.0,268000.0,380500.0,425000.0,546018.0,649000.0,590000.0,620000.0,675000.0,892000.0
98021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290225.0,,,,,,,,,,
98022,1,,,,,,,,65000.0,,70000.0,37500.0,,,,,,,,,,,,,,,161900.0,85000.0,,60000.0,,720000.0,93000.0,600000.0,,,60000.0,,,255000.0,65000.0,
98022,2,38500.0,155000.0,,62926.0,,95000.0,39500.0,88500.0,,155000.0,45000.0,95000.0,160000.0,110000.0,137000.0,,,,139000.0,119999.0,128500.0,479000.0,100000.0,,166077.0,825000.0,,72000.0,,114166.0,45000.0,165452.5,210500.0,,,125729.0,,225000.0,252500.0,274750.0,
98022,3,55000.0,67500.0,70000.0,68000.0,86475.0,80250.0,59990.0,119750.0,118425.0,115020.0,125600.0,138250.0,149000.0,146950.0,146000.0,153250.0,155000.0,185000.0,187500.0,208500.0,200000.0,225000.0,237000.0,291500.0,300000.0,349650.0,304450.0,260000.0,260000.0,240000.0,260000.0,241532.0,270000.0,296500.0,350750.0,362600.0,365000.0,425000.0,455750.0,549500.0,650000.0
98022,4,69975.0,72750.0,59750.0,69000.0,80000.0,90250.0,81400.0,94500.0,105750.0,126750.0,120000.0,128750.0,136500.0,139000.0,135900.0,135000.0,153200.0,167450.0,170475.0,175500.0,190000.0,197250.0,226729.0,241300.0,285450.0,299250.0,279600.0,232500.0,240300.0,222950.0,225000.0,239647.0,269375.0,291637.0,328000.0,342250.0,364000.0,435000.0,435000.0,525000.0,602500.0
98022,5,205000.0,42500.0,63975.0,73000.0,73500.0,83750.0,90000.0,125000.0,97700.0,122750.0,105000.0,118000.0,115000.0,115000.0,115000.0,136000.0,139825.0,146975.0,139900.0,170000.0,172975.0,179900.0,215000.0,250000.0,265000.0,292000.0,246500.0,230000.0,213500.0,229000.0,181063.0,228000.0,245000.0,251000.0,283750.0,330000.0,351000.0,390000.0,454750.0,540000.0,642500.0
98023,1,,,,,,,,,,,,,,,,,,130000.0,,195000.0,,,,,325000.0,700000.0,,,,,,,135810.0,,150000.0,,,,143000.0,850000.0,
98023,2,,,78250.0,,,,,97800.0,109475.0,128000.0,113000.0,124950.0,106574.0,,146000.0,165000.0,161500.0,172500.0,,154000.0,169975.0,,200000.0,247000.0,,,,,,,120000.0,,135000.0,,,,540000.0,,392500.0,435200.0,256000.0
